run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124407","all cores","aligned 32","32",32,0.3878,0.4074,1.1762,0.86642,3.02603,0.31550,0.24499,"tie","we win"
"20260906-124407","all cores","aligned 32","64",64,0.5780,0.5752,1.1531,1.00238,2.01787,0.03445,0.03920,"tie","we win"
"20260906-124407","all cores","aligned 32","96",96,0.7704,0.7689,1.5250,0.99951,2.02046,0.04973,0.14314,"tie","we win"
"20260906-124407","all cores","aligned 32","128",128,0.9621,0.9650,1.5413,0.98204,1.62166,0.07114,0.05499,"tie","we win"
"20260906-124407","all cores","aligned 32","160",160,1.8371,1.4588,1.5527,1.28055,1.07237,0.04984,0.08801,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","192",192,1.9431,1.3592,1.5620,1.45016,1.14439,0.04886,0.06885,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","224",224,2.2706,1.9320,1.7228,1.17192,0.89771,0.04274,0.04898,"C++ wins","libc wins"
"20260906-124407","all cores","aligned 32","256",256,2.3288,1.7729,1.7449,1.32466,0.98063,0.08946,0.05592,"C++ wins","tie"
"20260906-124407","all cores","aligned 32","288",288,2.6620,2.3359,2.4773,1.14356,1.07407,0.05079,0.16686,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","320",320,2.6740,2.1279,3.1221,1.26400,1.46716,0.02056,0.07324,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","384",384,3.0743,2.5621,2.8555,1.18405,1.11274,0.05931,0.11204,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","448",448,3.4383,2.9189,3.7086,1.18757,1.27528,0.07629,0.09781,"C++ wins","we win"
"20260906-124407","all cores","aligned 32","512",512,2.5066,2.4936,3.0891,1.00185,1.24789,0.03849,0.09479,"tie","we win"
"20260906-124407","all cores","aligned 32","576",576,2.8603,2.9207,3.6733,0.98497,1.29069,0.04138,0.07322,"tie","we win"
"20260906-124407","all cores","aligned 32","768",768,3.1892,3.2812,3.8367,0.96939,1.22303,0.07915,0.08121,"tie","we win"
"20260906-124407","all cores","aligned 32","1K",1024,3.8859,3.8911,4.6273,1.00187,1.22064,0.04320,0.09274,"tie","we win"
"20260906-124407","all cores","aligned 32","1536",1536,6.9909,6.8727,6.4641,1.01034,0.95348,0.07675,0.16288,"tie","tie"
"20260906-124407","all cores","aligned 32","2K",2048,12.0046,12.0636,8.7069,1.00299,0.74903,0.07460,0.11709,"tie","libc wins"
"20260906-124407","all cores","aligned 32","3K",3072,13.7751,13.4963,14.2492,1.02448,1.05765,0.09783,0.06622,"tie","tie"
"20260906-124407","all cores","aligned 32","4K",4096,15.7048,15.4956,15.9851,1.01770,1.03324,0.05893,0.05067,"tie","tie"
"20260906-124407","all cores","aligned 32","8K",8192,27.8760,28.0302,26.9179,0.99045,0.97296,0.06409,0.08943,"tie","tie"
"20260906-124407","all cores","aligned 32","16K",16384,51.7338,51.6633,50.4927,1.00097,0.97942,0.02150,0.02110,"tie","tie"
"20260906-124407","all cores","aligned 32","64K",65536,929.7271,924.5588,929.9525,1.00467,1.01747,0.04696,0.03924,"tie","tie"
"20260906-124407","all cores","aligned 64","64",64,0.5822,0.5819,1.1621,1.00621,2.00623,0.03238,0.04009,"tie","we win"
"20260906-124407","all cores","aligned 64","128",128,0.9598,0.9609,1.5439,0.99999,1.60247,0.02878,0.02965,"tie","we win"
"20260906-124407","all cores","aligned 64","192",192,1.9203,1.3725,1.5533,1.40233,1.12907,0.04679,0.03921,"C++ wins","we win"
"20260906-124407","all cores","aligned 64","256",256,2.3582,1.7662,1.7606,1.32768,0.99250,0.07400,0.07947,"C++ wins","tie"
"20260906-124407","all cores","aligned 64","384",384,3.1236,2.6734,2.8673,1.09722,1.03452,0.16245,0.18279,"tie","tie"
"20260906-124407","all cores","aligned 64","512",512,2.4934,2.5183,3.5768,0.99354,1.45359,0.04496,0.07668,"tie","we win"
