run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124213","all cores","aligned 32","32",32,0.3519,0.3620,1.5837,0.99263,4.54584,0.11981,0.10391,"tie","we win"
"20260906-124213","all cores","aligned 32","64",64,0.4822,0.5023,1.5882,0.94990,3.26191,0.14718,0.19181,"tie","we win"
"20260906-124213","all cores","aligned 32","96",96,0.5965,0.6042,1.8278,0.98920,3.07850,0.05698,0.09945,"tie","we win"
"20260906-124213","all cores","aligned 32","128",128,0.7875,0.7889,1.5677,1.00251,2.02633,0.08104,0.06470,"tie","we win"
"20260906-124213","all cores","aligned 32","160",160,1.8186,1.0028,1.6079,1.80389,1.59424,0.06305,0.07916,"C++ wins","we win"
"20260906-124213","all cores","aligned 32","192",192,2.4196,1.4849,1.7526,1.62349,1.18805,0.06527,0.06615,"C++ wins","we win"
"20260906-124213","all cores","aligned 32","224",224,2.8203,1.8007,1.6650,1.55263,0.90954,0.16845,0.16076,"C++ wins","tie"
"20260906-124213","all cores","aligned 32","256",256,2.6122,1.7858,1.7534,1.48047,0.97582,0.06475,0.08017,"C++ wins","tie"
"20260906-124213","all cores","aligned 32","288",288,2.9656,2.1807,2.3664,1.36468,1.11316,0.07207,0.11527,"C++ wins","we win"
"20260906-124213","all cores","aligned 32","320",320,3.0083,2.2078,2.9752,1.35638,1.35179,0.08068,0.13335,"C++ wins","we win"
"20260906-124213","all cores","aligned 32","384",384,3.4195,2.6212,2.9516,1.30131,1.14247,0.04374,0.10742,"C++ wins","we win"
"20260906-124213","all cores","aligned 32","448",448,3.8299,2.9960,3.2034,1.29123,1.07506,0.11938,0.08819,"C++ wins","tie"
"20260906-124213","all cores","aligned 32","512",512,2.9119,2.9083,3.1569,0.99790,1.09964,0.08791,0.04973,"tie","we win"
"20260906-124213","all cores","aligned 32","576",576,3.7645,3.7598,3.6954,1.00078,0.99693,0.05721,0.12153,"tie","tie"
"20260906-124213","all cores","aligned 32","768",768,3.6627,3.5770,4.0354,1.02649,1.14118,0.03193,0.06868,"tie","we win"
"20260906-124213","all cores","aligned 32","1K",1024,4.2906,4.8693,4.8225,0.88199,1.12127,0.06912,0.06207,"C++ LOSES","we win"
"20260906-124213","all cores","aligned 32","1536",1536,6.2413,6.1398,6.8773,1.02506,1.12925,0.06214,0.16935,"tie","we win"
"20260906-124213","all cores","aligned 32","2K",2048,12.4109,12.5603,8.9827,1.02195,0.73650,0.12347,0.11130,"tie","libc wins"
"20260906-124213","all cores","aligned 32","3K",3072,13.9223,13.9668,14.4639,1.00545,1.07164,0.16420,0.08660,"tie","tie"
"20260906-124213","all cores","aligned 32","4K",4096,16.0736,16.4480,16.0907,0.95312,1.01802,0.15119,0.13668,"tie","tie"
"20260906-124213","all cores","aligned 32","8K",8192,27.5969,27.3854,26.5217,1.01521,0.98213,0.04462,0.06306,"tie","tie"
"20260906-124213","all cores","aligned 32","16K",16384,56.4933,56.8842,51.1890,0.97116,0.92525,0.18899,0.08333,"tie","tie"
"20260906-124213","all cores","aligned 32","64K",65536,962.3031,950.2204,949.6221,1.00955,1.01868,0.09999,0.07086,"tie","tie"
"20260906-124213","all cores","aligned 64","64",64,0.4781,0.4777,1.2483,1.01838,2.65904,0.08043,0.09448,"tie","we win"
"20260906-124213","all cores","aligned 64","128",128,0.7826,0.7989,1.5662,0.99240,2.03412,0.07344,0.09208,"tie","we win"
"20260906-124213","all cores","aligned 64","192",192,2.3771,1.4703,1.7197,1.60244,1.17447,0.06830,0.09043,"C++ wins","we win"
"20260906-124213","all cores","aligned 64","256",256,2.6025,1.7784,1.7544,1.44938,0.99315,0.10804,0.07186,"C++ wins","tie"
"20260906-124213","all cores","aligned 64","384",384,3.2559,2.5084,3.0314,1.32519,1.22081,0.13217,0.06785,"C++ wins","we win"
"20260906-124213","all cores","aligned 64","512",512,3.0184,3.0223,3.2574,0.99926,1.08355,0.02605,0.04768,"tie","we win"
"20260906-124213","all cores","aligned 64","1K",1024,4.3652,4.8683,4.7737,0.88944,1.09975,0.08104,0.09389,"C++ LOSES","we win"
"20260906-124213","all cores","aligned 64","2K",2048,10.4548,10.4624,8.9313,1.00112,0.86817,0.08071,0.12889,"tie","libc wins"
"20260906-124213","all cores","aligned 64","4K",4096,13.8921,13.9815,14.7369,0.98153,1.08409,0.19722,0.10495,"tie","tie"
"20260906-124213","all cores","aligned 64","16K",16384,52.2244,50.8392,50.7592,1.05332,1.00572,0.24486,0.08783,"tie","tie"
"20260906-124213","all cores","aligned 64","64K",65536,971.5525,971.8827,978.4427,1.00135,1.03698,0.08466,0.10207,"tie","tie"
"20260906-124213","all cores","aligned 16","16",16,0.2588,0.2587,1.5703,0.99957,6.16001,0.04031,0.06497,"tie","we win"
