run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-123853","P-cores","aligned 32","32",32,0.3828,0.3811,1.3322,1.07560,3.59673,0.41791,0.03907,"tie","we win"
"20260906-123853","P-cores","aligned 32","64",64,0.6068,0.6002,2.3411,1.01281,3.94823,0.05935,0.06162,"tie","we win"
"20260906-123853","P-cores","aligned 32","96",96,0.7845,0.7847,2.5399,0.98893,3.27052,0.10938,0.06739,"tie","we win"
"20260906-123853","P-cores","aligned 32","128",128,0.9896,0.9974,2.5717,0.98895,2.71819,0.17891,0.08741,"tie","we win"
"20260906-123853","P-cores","aligned 32","160",160,2.0601,1.5205,2.5727,1.34651,1.71593,0.18179,0.13620,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","192",192,1.9563,1.2766,2.6605,1.55206,2.06372,0.13882,0.12439,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","224",224,2.4760,2.0415,2.8169,1.25031,1.37704,0.13508,0.16237,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","256",256,2.5160,1.8575,2.7697,1.35437,1.49911,0.16405,0.16258,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","288",288,2.7028,2.3036,2.9240,1.15562,1.42379,0.28682,0.35161,"tie","we win"
"20260906-123853","P-cores","aligned 32","320",320,2.7719,1.9673,2.5972,1.44488,1.29949,0.24790,0.10637,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","384",384,3.2889,2.4308,2.8734,1.34513,1.16657,0.06479,0.06507,"C++ wins","we win"
"20260906-123853","P-cores","aligned 32","448",448,3.7980,2.9109,2.8747,1.29276,1.00076,0.13819,0.12809,"C++ wins","tie"
"20260906-123853","P-cores","aligned 32","512",512,2.8667,2.9186,3.0309,0.95475,1.11160,0.20785,0.08155,"tie","tie"
"20260906-123853","P-cores","aligned 32","576",576,3.4836,3.4576,3.3737,1.02344,0.99700,0.21088,0.07672,"tie","tie"
"20260906-123853","P-cores","aligned 32","768",768,3.8977,3.8568,3.9501,1.00057,1.05139,0.10458,0.10450,"tie","tie"
