run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-123643","P-cores","aligned 32","32",32,0.3411,0.3421,1.7950,0.99427,5.41263,0.07977,0.10102,"tie","we win"
"20260906-123643","P-cores","aligned 32","64",64,0.7600,0.7616,3.5975,0.99739,4.76507,0.02879,0.02844,"tie","we win"
"20260906-123643","P-cores","aligned 32","96",96,0.5777,0.5861,3.1948,0.99130,5.55918,0.13152,0.08812,"tie","we win"
"20260906-123643","P-cores","aligned 32","128",128,0.9906,0.9778,3.8249,1.00928,3.99120,0.11713,0.08026,"tie","we win"
"20260906-123643","P-cores","aligned 32","160",160,1.9370,1.3513,3.6310,1.43847,2.69144,0.06274,0.04860,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","192",192,2.4067,1.3832,4.0704,1.73393,2.92915,0.09505,0.07947,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","224",224,2.8330,1.5845,3.9630,1.79168,2.52179,0.10545,0.07876,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","256",256,2.4164,1.7532,4.6450,1.38357,2.66545,0.07497,0.07678,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","288",288,2.8965,1.8966,4.4085,1.52228,2.31675,0.06111,0.06535,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","320",320,2.7348,2.1470,4.9342,1.27404,2.32919,0.07182,0.06611,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","384",384,3.0953,2.5402,5.4983,1.20683,2.16972,0.09386,0.12621,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","448",448,3.3894,2.6861,5.2865,1.27335,1.97563,0.05265,0.06812,"C++ wins","we win"
"20260906-123643","P-cores","aligned 32","512",512,3.4348,3.4357,5.5951,0.99609,1.64669,0.03631,0.06660,"tie","we win"
"20260906-123643","P-cores","aligned 32","576",576,4.1934,4.0284,5.5927,1.04215,1.41204,0.07462,0.05314,"tie","we win"
"20260906-123643","P-cores","aligned 32","768",768,4.0921,4.0814,6.7931,1.00304,1.66407,0.03415,0.09317,"tie","we win"
"20260906-123643","P-cores","aligned 32","1K",1024,4.6662,4.8484,8.6281,0.96620,1.83716,0.05172,0.03883,"tie","we win"
"20260906-123643","P-cores","aligned 32","1536",1536,6.4889,6.4709,10.9729,1.00307,1.71986,0.05315,0.06222,"tie","we win"
"20260906-123643","P-cores","aligned 32","2K",2048,12.2690,12.0915,14.4794,0.99958,1.21024,0.07132,0.07358,"tie","we win"
"20260906-123643","P-cores","aligned 32","3K",3072,14.0024,13.9743,21.3611,0.99523,1.55494,0.05969,0.06291,"tie","we win"
"20260906-123643","P-cores","aligned 32","4K",4096,15.7826,15.7216,32.3441,0.99694,2.09351,0.06460,0.10070,"tie","we win"
"20260906-123643","P-cores","aligned 32","8K",8192,27.7533,28.1992,58.2315,0.97994,2.12555,0.05169,0.11744,"tie","we win"
"20260906-123643","P-cores","aligned 32","16K",16384,52.9896,53.3698,110.1427,0.98706,2.08611,0.05733,0.08699,"tie","we win"
"20260906-123643","P-cores","aligned 32","64K",65536,914.5767,920.5906,917.6888,0.99250,1.01042,0.03653,0.02753,"tie","tie"
"20260906-123643","P-cores","aligned 64","64",64,0.4665,0.4678,3.7699,0.99015,7.96915,0.07755,0.11698,"tie","we win"
"20260906-123643","P-cores","aligned 64","128",128,0.9556,0.9523,3.8318,1.00422,4.09737,0.04935,0.07719,"tie","we win"
"20260906-123643","P-cores","aligned 64","192",192,2.3544,1.4047,4.1554,1.68148,3.02074,0.08923,0.10510,"C++ wins","we win"
"20260906-123643","P-cores","aligned 64","256",256,2.5332,1.7780,4.5954,1.40031,2.50547,0.14692,0.13055,"C++ wins","we win"
"20260906-123643","P-cores","aligned 64","384",384,3.2223,2.6138,5.9025,1.22939,2.25136,0.04113,0.08041,"C++ wins","we win"
"20260906-123643","P-cores","aligned 64","512",512,3.6442,3.6083,5.6308,0.99802,1.59281,0.11965,0.14902,"tie","we win"
"20260906-123643","P-cores","aligned 64","1K",1024,5.5419,5.4432,8.8913,1.02478,1.66526,0.13705,0.13319,"tie","we win"
"20260906-123643","P-cores","aligned 64","2K",2048,10.3127,10.2482,14.3525,1.00502,1.41661,0.04706,0.09163,"tie","we win"
"20260906-123643","P-cores","aligned 64","4K",4096,13.6961,13.8879,32.3943,0.98634,2.39745,0.05251,0.07371,"tie","we win"
"20260906-123643","P-cores","aligned 64","16K",16384,50.8735,51.2227,108.0279,0.99541,2.12227,0.05007,0.06390,"tie","we win"
"20260906-123643","P-cores","aligned 64","64K",65536,908.5169,914.3792,909.4723,0.99225,1.00506,0.02521,0.01685,"tie","tie"
"20260906-123643","P-cores","aligned 16","16",16,0.2615,0.2618,1.6836,0.99630,6.51180,0.06380,0.14187,"tie","we win"
"20260906-123643","P-cores","aligned 16","48",48,0.3794,0.3810,3.2482,0.99686,8.69101,0.05045,0.07268,"tie","we win"
"20260906-123643","P-cores","aligned 16","80",80,0.7656,0.7606,3.1308,1.00049,4.15003,0.05772,0.05159,"tie","we win"
"20260906-123643","P-cores","aligned 16","112",112,0.9518,0.9486,3.2813,1.00616,3.55419,0.04441,0.08935,"tie","we win"
"20260906-123643","P-cores","aligned 16","144",144,1.1606,1.1564,3.4877,1.00415,3.09461,0.08079,0.06990,"tie","we win"
"20260906-123643","P-cores","aligned 16","176",176,1.9670,1.1830,3.7057,1.65922,3.15354,0.06156,0.06429,"C++ wins","we win"
"20260906-123643","P-cores","aligned 16","208",208,2.1717,1.4759,4.2214,1.48422,2.85272,0.06660,0.06791,"C++ wins","we win"
