run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124502","all cores","zeroing, aligned 32","32",32,0.2419,0.2396,1.3073,1.00687,5.62849,0.08470,0.07919,"tie","we win"
"20260906-124502","all cores","zeroing, aligned 32","64",64,0.3854,0.3896,1.3659,0.99645,3.59737,0.06507,0.11102,"tie","we win"
"20260906-124502","all cores","zeroing, aligned 32","96",96,0.5835,0.5920,1.6125,0.98553,2.80628,0.05204,0.07541,"tie","we win"
"20260906-124502","all cores","zeroing, aligned 32","128",128,0.7763,0.7717,1.6525,0.99990,2.16457,0.05719,0.05773,"tie","we win"
"20260906-124502","all cores","zeroing, aligned 32","160",160,1.5704,1.0925,1.5451,1.44985,1.42262,0.06108,0.06671,"C++ wins","we win"
"20260906-124502","all cores","zeroing, aligned 32","192",192,1.3831,1.1828,1.7258,1.15533,1.45714,0.04451,0.04690,"C++ wins","we win"
"20260906-124502","all cores","zeroing, aligned 32","224",224,1.7878,1.3966,1.7419,1.28151,1.23460,0.08753,0.08814,"C++ wins","we win"
"20260906-124502","all cores","zeroing, aligned 32","256",256,1.8305,1.5668,1.5919,1.16294,1.01226,0.03793,0.04211,"C++ wins","tie"
"20260906-124502","all cores","zeroing, aligned 32","288",288,1.9713,1.8207,1.7789,1.01864,0.94672,0.21096,0.11881,"tie","tie"
"20260906-124502","all cores","zeroing, aligned 32","320",320,3.2681,3.2602,2.4997,1.00634,0.77291,0.04081,0.06311,"tie","libc wins"
"20260906-124502","all cores","zeroing, aligned 32","384",384,2.3904,2.3511,1.8947,1.00706,0.81211,0.11591,0.07786,"tie","libc wins"
"20260906-124502","all cores","zeroing, aligned 32","448",448,3.0350,2.7293,2.3549,1.10957,0.86246,0.03706,0.06233,"C++ wins","libc wins"
"20260906-124502","all cores","zeroing, aligned 32","512",512,3.0918,3.0951,2.9839,0.99592,0.97584,0.02812,0.02679,"tie","tie"
"20260906-124502","all cores","zeroing, aligned 32","576",576,2.3479,2.3365,2.5296,1.00019,1.08385,0.04689,0.06412,"tie","we win"
"20260906-124502","all cores","zeroing, aligned 32","768",768,3.4410,3.0587,2.7601,1.10718,0.88051,0.15872,0.11981,"tie","tie"
"20260906-124502","all cores","zeroing, aligned 32","1K",1024,3.4716,3.4503,3.4741,1.00117,1.00879,0.02470,0.04024,"tie","tie"
"20260906-124502","all cores","zeroing, aligned 32","1536",1536,4.9701,5.0134,4.9921,0.98418,1.00410,0.04064,0.03285,"tie","tie"
