run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124309","all cores","zeroing, aligned 32","32",32,0.2343,0.2344,1.1574,1.00158,4.98711,0.03219,0.02850,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","64",64,0.3849,0.3819,1.5312,1.00010,4.02071,0.03044,0.05172,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","96",96,0.5782,0.5770,1.7391,1.00281,3.03775,0.05765,0.06025,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","128",128,0.7632,0.7633,1.6432,1.00457,2.20406,0.04931,0.09280,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","160",160,1.4686,0.9645,1.7049,1.53897,1.75444,0.06358,0.06208,"C++ wins","we win"
"20260906-124309","all cores","zeroing, aligned 32","192",192,1.9329,1.1773,1.6628,1.64727,1.44489,0.07426,0.10439,"C++ wins","we win"
"20260906-124309","all cores","zeroing, aligned 32","224",224,2.1593,1.3780,1.5394,1.57211,1.10929,0.05972,0.06533,"C++ wins","we win"
"20260906-124309","all cores","zeroing, aligned 32","256",256,1.9254,1.5453,1.6633,1.26026,1.07827,0.07206,0.05235,"C++ wins","we win"
"20260906-124309","all cores","zeroing, aligned 32","288",288,1.9171,1.7267,1.7160,1.11561,0.99569,0.06331,0.02888,"C++ wins","tie"
"20260906-124309","all cores","zeroing, aligned 32","320",320,2.1327,1.9254,1.7226,1.12187,0.89754,0.10325,0.07038,"C++ wins","tie"
"20260906-124309","all cores","zeroing, aligned 32","384",384,2.3463,2.3466,1.7853,1.00055,0.77546,0.09548,0.05646,"tie","libc wins"
"20260906-124309","all cores","zeroing, aligned 32","448",448,2.7060,2.7088,2.1222,0.99366,0.79409,0.03251,0.03622,"tie","libc wins"
"20260906-124309","all cores","zeroing, aligned 32","512",512,2.5020,2.4939,1.9302,1.01078,0.77724,0.08277,0.05117,"tie","libc wins"
"20260906-124309","all cores","zeroing, aligned 32","576",576,3.1278,3.1404,2.6428,1.03321,0.85474,0.10176,0.10079,"tie","libc wins"
"20260906-124309","all cores","zeroing, aligned 32","768",768,2.8555,2.8625,2.6700,1.00126,0.93925,0.03453,0.01387,"tie","libc wins"
"20260906-124309","all cores","zeroing, aligned 32","1K",1024,3.4254,3.4341,3.4284,0.99730,1.01013,0.03528,0.01728,"tie","tie"
"20260906-124309","all cores","zeroing, aligned 32","1536",1536,4.9566,4.9796,4.9647,0.98828,1.01057,0.03567,0.02963,"tie","tie"
"20260906-124309","all cores","zeroing, aligned 32","2K",2048,6.6291,6.5471,6.4978,1.02536,1.00145,0.09942,0.06253,"tie","tie"
"20260906-124309","all cores","zeroing, aligned 32","3K",3072,9.6300,9.6273,14.1144,1.00267,1.47198,0.04425,0.03606,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","4K",4096,14.9982,15.0375,15.5743,0.99675,1.05415,0.04937,0.03797,"tie","we win"
"20260906-124309","all cores","zeroing, aligned 32","8K",8192,101.0600,100.8435,101.7548,1.00961,1.02430,0.06176,0.03996,"tie","tie"
"20260906-124309","all cores","zeroing, aligned 32","16K",16384,199.7019,200.2677,199.6483,1.00163,1.00800,0.03508,0.03361,"tie","tie"
"20260906-124309","all cores","zeroing, aligned 32","64K",65536,795.4052,793.6644,803.4889,0.98940,1.02032,0.04804,0.04472,"tie","tie"
"20260906-124309","all cores","aligned 64","64",64,0.3821,0.3815,1.5289,0.99867,4.01916,0.01276,0.01930,"tie","we win"
"20260906-124309","all cores","aligned 64","128",128,0.7773,0.7782,1.7578,0.99696,2.29111,0.04070,0.08267,"tie","we win"
"20260906-124309","all cores","aligned 64","192",192,1.7459,1.1651,1.7017,1.50036,1.46064,0.03530,0.04520,"C++ wins","we win"
"20260906-124309","all cores","aligned 64","256",256,1.9207,1.5551,1.4882,1.23325,0.96600,0.04866,0.07385,"C++ wins","tie"
"20260906-124309","all cores","aligned 64","384",384,2.2967,2.3004,1.7197,0.99827,0.75509,0.02770,0.03084,"tie","libc wins"
"20260906-124309","all cores","aligned 64","512",512,2.4790,2.4987,1.9482,1.00317,0.79332,0.06125,0.04797,"tie","libc wins"
"20260906-124309","all cores","aligned 64","1K",1024,3.4072,3.3932,3.2482,0.99787,0.96385,0.04302,0.02464,"tie","tie"
"20260906-124309","all cores","aligned 64","2K",2048,6.3111,6.3289,6.3310,0.99662,1.01675,0.04193,0.04225,"tie","tie"
"20260906-124309","all cores","aligned 64","4K",4096,13.3885,13.4047,13.7006,0.99950,1.03123,0.03654,0.03710,"tie","tie"
"20260906-124309","all cores","aligned 64","16K",16384,197.9058,199.6269,199.9769,0.98866,1.02509,0.07643,0.05128,"tie","tie"
"20260906-124309","all cores","aligned 64","64K",65536,798.8302,801.2060,802.8800,0.99611,1.02207,0.04072,0.04736,"tie","tie"
"20260906-124309","all cores","aligned 16","16",16,0.2388,0.2312,1.5068,1.07209,6.57617,0.41498,0.20502,"tie","we win"
"20260906-124309","all cores","aligned 16","48",48,0.3808,0.3808,1.1464,0.99740,3.03730,0.03254,0.01483,"tie","we win"
"20260906-124309","all cores","aligned 16","80",80,0.5904,0.5892,1.6746,0.99894,2.88366,0.07171,0.07769,"tie","we win"
"20260906-124309","all cores","aligned 16","112",112,0.7786,0.7741,1.7499,1.00011,2.28164,0.04392,0.06515,"tie","we win"
"20260906-124309","all cores","aligned 16","144",144,0.9661,0.9633,1.8669,1.00328,1.96341,0.07923,0.07311,"tie","we win"
"20260906-124309","all cores","aligned 16","176",176,7.9610,1.1755,1.7512,6.74573,1.50847,0.05001,0.06453,"C++ wins","we win"
"20260906-124309","all cores","aligned 16","208",208,2.7109,1.3548,1.9198,2.01160,1.42592,0.02035,0.03789,"C++ wins","we win"
"20260906-124309","all cores","aligned 16","240",240,8.4680,1.5508,1.7485,5.44956,1.12809,0.06087,0.04828,"C++ wins","we win"
"20260906-124309","all cores","aligned 16","272",272,2.6111,1.7205,2.2980,1.54300,1.33508,0.07254,0.08913,"C++ wins","we win"
"20260906-124309","all cores","aligned 16","496",496,8.5249,3.0610,2.4939,2.78068,0.81744,0.03942,0.03317,"C++ wins","libc wins"
"20260906-124309","all cores","aligned 16","1008",1008,3.9724,3.9834,4.7486,1.00764,1.20454,0.04617,0.09233,"tie","we win"
"20260906-124309","all cores","aligned 16","2032",2032,6.4189,6.3756,7.2017,1.00094,1.13872,0.03189,0.04487,"tie","we win"
"20260906-124309","all cores","aligned 16","4080",4080,12.6755,12.7390,14.6787,0.99581,1.17002,0.06690,0.06070,"tie","we win"
"20260906-124309","all cores","aligned 8","8",8,0.2397,0.2390,1.7372,0.96623,7.42873,0.40829,0.13559,"tie","we win"
"20260906-124309","all cores","aligned 8","24",24,0.3920,0.3928,1.5418,1.00207,3.98963,0.03643,0.08623,"tie","we win"
"20260906-124309","all cores","aligned 8","40",40,0.4885,0.4847,1.3665,1.00688,2.82368,0.03431,0.04869,"tie","we win"
"20260906-124309","all cores","aligned 8","56",56,0.7652,0.7662,1.5400,0.99936,2.01157,0.02142,0.03774,"tie","we win"
"20260906-124309","all cores","aligned 8","88",88,0.9681,0.9643,1.7465,0.99931,1.84001,0.03564,0.09128,"tie","we win"
"20260906-124309","all cores","aligned 8","120",120,1.3650,1.3576,1.5633,1.00649,1.16437,0.06866,0.07418,"tie","we win"
"20260906-124309","all cores","aligned 8","152",152,1.5320,1.5333,2.5090,0.99544,1.65778,0.04914,0.03354,"tie","we win"
"20260906-124309","all cores","aligned 8","248",248,8.3832,8.3715,2.4894,1.00584,0.30420,0.04964,0.03833,"tie","libc wins"
"20260906-124309","all cores","aligned 8","504",504,8.7814,8.8189,3.6485,0.99339,0.41753,0.03866,0.02927,"tie","libc wins"
"20260906-124309","all cores","aligned 8","1016",1016,3.8362,3.8434,5.7349,0.99861,1.50197,0.01961,0.02837,"tie","we win"
"20260906-124309","all cores","aligned 8","4088",4088,12.7125,12.6680,15.6227,1.01427,1.24977,0.08218,0.05871,"tie","we win"
"20260906-124309","all cores","non-zero byte","32",32,0.2382,0.2400,1.1663,0.99351,4.96182,0.05334,0.04524,"tie","we win"
"20260906-124309","all cores","non-zero byte","64",64,0.3856,0.3833,1.5611,1.00027,4.08852,0.06377,0.06527,"tie","we win"
"20260906-124309","all cores","non-zero byte","96",96,0.5709,0.5740,1.6867,0.99317,2.97712,0.05575,0.04757,"tie","we win"
"20260906-124309","all cores","non-zero byte","128",128,0.7633,0.7635,1.6268,0.99917,2.17613,0.06200,0.05153,"tie","we win"
"20260906-124309","all cores","non-zero byte","160",160,1.4811,0.9612,1.6930,1.53901,1.77632,0.05143,0.07935,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","192",192,1.9465,1.1921,1.7319,1.62977,1.46810,0.07305,0.06281,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","224",224,2.1594,1.3899,1.5508,1.55146,1.12062,0.02007,0.05715,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","256",256,1.9337,1.5511,1.7088,1.24172,1.09499,0.06343,0.07395,"C++ wins","we win"
"20260906-124309","all cores","non-zero byte","288",288,1.9403,1.7539,1.7436,1.10525,0.99574,0.01895,0.04707,"C++ wins","tie"
"20260906-124309","all cores","non-zero byte","320",320,2.1178,1.9240,1.7291,1.10626,0.89865,0.02351,0.02882,"C++ wins","libc wins"
"20260906-124309","all cores","non-zero byte","384",384,2.4102,2.4224,1.8181,1.01031,0.76413,0.09528,0.06652,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","448",448,2.6913,2.7065,2.1258,0.99136,0.79349,0.03578,0.04505,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","512",512,2.5239,2.5017,1.9293,1.00772,0.77845,0.05267,0.04876,"tie","libc wins"
"20260906-124309","all cores","non-zero byte","576",576,3.1264,3.1743,2.6626,1.00017,0.85038,0.16442,0.09479,"tie","tie"
"20260906-124309","all cores","non-zero byte","768",768,2.9059,2.9043,2.7377,0.99415,0.95593,0.04689,0.05858,"tie","tie"
"20260906-124309","all cores","non-zero byte","1K",1024,3.5857,3.5742,3.5764,1.00625,1.01964,0.09435,0.05825,"tie","tie"
"20260906-124309","all cores","non-zero byte","1536",1536,5.0480,5.0644,5.0364,0.99919,0.99991,0.03038,0.05514,"tie","tie"
"20260906-124309","all cores","non-zero byte","2K",2048,6.5749,6.6253,6.6142,0.99167,1.02020,0.06597,0.05275,"tie","tie"
"20260906-124309","all cores","non-zero byte","3K",3072,9.6422,9.5897,14.0122,0.99779,1.47792,0.06112,0.04647,"tie","we win"
"20260906-124309","all cores","non-zero byte","4K",4096,15.1688,15.1070,15.5479,1.00938,1.04858,0.07609,0.05086,"tie","tie"
"20260906-124309","all cores","non-zero byte","8K",8192,102.4967,101.7971,102.6402,1.00350,1.01972,0.04842,0.05054,"tie","tie"
"20260906-124309","all cores","non-zero byte","16K",16384,201.2615,201.1146,200.3223,0.99838,1.00703,0.04332,0.02907,"tie","tie"
"20260906-124309","all cores","non-zero byte","64K",65536,799.6273,803.3208,803.6056,0.99382,1.01403,0.04095,0.04740,"tie","tie"
"20260906-124309","all cores","natural (control)","1",1,0.2291,0.2303,1.5577,0.99612,6.84663,0.05626,0.06361,"tie","we win"
"20260906-124309","all cores","natural (control)","3",3,0.3060,0.3040,1.6973,1.00325,5.59453,0.02631,0.03347,"tie","we win"
"20260906-124309","all cores","natural (control)","7",7,0.2420,0.2454,1.6044,0.98607,6.68376,0.41424,0.16199,"tie","we win"
"20260906-124309","all cores","natural (control)","8",8,0.2341,0.2345,1.5558,0.99928,6.69599,0.03879,0.06033,"tie","we win"
