run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124032","P-cores","zeroing, aligned 32","32",32,0.2688,0.2772,1.1914,0.98680,4.38011,0.03504,0.09126,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","64",64,0.3988,0.3951,2.1422,1.00252,5.48056,0.03643,0.12511,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","96",96,0.5820,0.5817,2.1685,0.99909,3.80498,0.08789,0.06624,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","128",128,0.7927,0.7957,2.1619,0.99772,2.75014,0.05823,0.08198,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","160",160,1.5494,1.1036,2.1614,1.45853,1.95851,0.09666,0.12587,"C++ wins","we win"
"20260906-124032","P-cores","zeroing, aligned 32","192",192,1.5472,1.1831,2.1694,1.31645,1.83425,0.04245,0.07782,"C++ wins","we win"
"20260906-124032","P-cores","zeroing, aligned 32","224",224,1.7529,1.3647,2.2959,1.27891,1.66203,0.05452,0.04025,"C++ wins","we win"
"20260906-124032","P-cores","zeroing, aligned 32","256",256,1.7645,1.5986,2.3500,1.11041,1.46920,0.04535,0.07220,"C++ wins","we win"
"20260906-124032","P-cores","zeroing, aligned 32","288",288,2.0811,1.7506,2.2885,1.19152,1.27634,0.11790,0.06802,"C++ wins","we win"
"20260906-124032","P-cores","zeroing, aligned 32","320",320,2.0467,1.9321,2.5402,1.14286,1.31402,0.28424,0.19025,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","384",384,2.8570,2.3621,2.5689,1.40312,1.08869,0.24020,0.43074,"C++ wins","tie"
"20260906-124032","P-cores","zeroing, aligned 32","448",448,2.6858,2.6659,2.5151,1.02801,0.94452,0.08242,0.05743,"tie","tie"
"20260906-124032","P-cores","zeroing, aligned 32","512",512,1.9786,1.9769,2.7798,0.99997,1.40545,0.01001,0.07858,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","576",576,2.3009,2.2838,3.2039,0.99429,1.40933,0.06727,0.04405,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","768",768,2.7352,2.7102,3.0380,1.01117,1.12114,0.05576,0.07060,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","1K",1024,3.5406,3.5908,3.6117,0.99856,1.02298,0.03362,0.07673,"tie","tie"
"20260906-124032","P-cores","zeroing, aligned 32","1536",1536,5.0258,5.0543,5.3740,0.99741,1.07483,0.03723,0.05039,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","2K",2048,6.6387,6.5954,6.7303,0.99781,1.03017,0.04841,0.08103,"tie","tie"
"20260906-124032","P-cores","zeroing, aligned 32","3K",3072,9.8069,9.7857,10.4128,0.99898,1.07025,0.03486,0.06968,"tie","we win"
"20260906-124032","P-cores","zeroing, aligned 32","4K",4096,15.2218,15.0377,12.7990,1.00757,0.85643,0.05737,0.04697,"tie","libc wins"
"20260906-124032","P-cores","zeroing, aligned 32","8K",8192,99.5415,100.1531,101.4652,0.99605,1.02748,0.05982,0.06070,"tie","tie"
"20260906-124032","P-cores","zeroing, aligned 32","16K",16384,202.2015,200.1406,200.2081,1.00990,1.01410,0.04859,0.05025,"tie","tie"
"20260906-124032","P-cores","zeroing, aligned 32","64K",65536,790.9248,791.6663,804.0202,0.99522,1.02975,0.04383,0.04439,"tie","tie"
"20260906-124032","P-cores","aligned 64","64",64,0.3835,0.3849,2.1674,0.98641,5.82826,0.10914,0.07898,"tie","we win"
"20260906-124032","P-cores","aligned 64","128",128,0.7961,0.8008,2.3889,0.99099,3.06666,0.06604,0.09192,"tie","we win"
"20260906-124032","P-cores","aligned 64","192",192,1.3825,1.2105,2.2262,1.15052,1.85448,0.05022,0.09265,"C++ wins","we win"
"20260906-124032","P-cores","aligned 64","256",256,1.7352,1.5648,2.3330,1.10167,1.47634,0.06427,0.06463,"C++ wins","we win"
"20260906-124032","P-cores","aligned 64","384",384,2.3569,2.3250,2.5188,1.02453,1.08903,0.06734,0.05621,"tie","we win"
"20260906-124032","P-cores","aligned 64","512",512,2.6190,2.7362,2.8071,1.01509,1.08832,0.16271,0.26767,"tie","tie"
"20260906-124032","P-cores","aligned 64","1K",1024,3.3228,3.3062,3.5225,1.00322,1.06994,0.04003,0.06025,"tie","we win"
"20260906-124032","P-cores","aligned 64","2K",2048,6.3906,6.3853,6.5883,0.99228,1.04124,0.03964,0.04251,"tie","we win"
"20260906-124032","P-cores","aligned 64","4K",4096,13.6589,13.6470,12.8309,0.99300,0.95558,0.07274,0.06047,"tie","tie"
"20260906-124032","P-cores","aligned 64","16K",16384,197.5906,198.1940,199.9944,0.99881,1.02140,0.05774,0.06640,"tie","tie"
"20260906-124032","P-cores","aligned 64","64K",65536,787.9819,792.3417,790.7160,0.99973,1.01259,0.04277,0.03798,"tie","tie"
"20260906-124032","P-cores","aligned 16","16",16,0.2409,0.2327,1.1444,1.03789,4.93697,0.05447,0.06972,"tie","we win"
"20260906-124032","P-cores","aligned 16","48",48,0.3897,0.3889,2.1598,0.99822,5.66267,0.08649,0.09385,"tie","we win"
"20260906-124032","P-cores","aligned 16","80",80,0.5809,0.5778,2.1113,1.00835,3.69876,0.05391,0.08781,"tie","we win"
"20260906-124032","P-cores","aligned 16","112",112,0.7829,0.7885,2.1484,0.99328,2.80267,0.08299,0.08358,"tie","we win"
"20260906-124032","P-cores","aligned 16","144",144,1.3728,0.9697,2.1308,1.41983,2.17980,0.05468,0.09534,"C++ wins","we win"
"20260906-124032","P-cores","aligned 16","176",176,1.8773,1.2031,2.1881,1.58741,1.80656,0.08627,0.13166,"C++ wins","we win"
"20260906-124032","P-cores","aligned 16","208",208,1.5687,1.3706,2.2641,1.13812,1.65046,0.05413,0.07632,"C++ wins","we win"
"20260906-124032","P-cores","aligned 16","240",240,1.7908,1.5727,2.2971,1.13676,1.46178,0.04223,0.05322,"C++ wins","we win"
"20260906-124032","P-cores","aligned 16","272",272,1.9213,1.7299,2.2690,1.09819,1.30376,0.03373,0.06478,"C++ wins","we win"
"20260906-124032","P-cores","aligned 16","496",496,3.1645,3.1569,2.7615,1.00987,0.88225,0.04510,0.06616,"tie","libc wins"
"20260906-124032","P-cores","aligned 16","1008",1008,3.4182,3.3875,3.5436,1.00994,1.05386,0.08856,0.06185,"tie","tie"
"20260906-124032","P-cores","aligned 16","2032",2032,6.3968,6.3640,6.6370,1.00630,1.05212,0.03399,0.05467,"tie","we win"
"20260906-124032","P-cores","aligned 16","4080",4080,12.8372,12.6284,14.1445,1.02347,1.13408,0.08968,0.06802,"tie","we win"
