run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-123747","P-cores","zeroing, aligned 32","32",32,0.2315,0.2314,2.9847,1.00381,13.00197,0.04973,0.05824,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","64",64,0.3786,0.3786,3.8903,1.00096,10.47335,0.06778,0.05801,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","96",96,0.5719,0.5762,4.1416,1.00837,7.12582,0.12119,0.06600,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","128",128,0.7603,0.7604,4.5229,0.99920,5.96133,0.01895,0.02048,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","160",160,1.5464,0.9656,2.4267,1.61477,2.54561,0.04979,0.07102,"C++ wins","we win"
"20260906-123747","P-cores","zeroing, aligned 32","192",192,2.4693,2.4001,3.2377,1.03676,1.36674,0.04943,0.05930,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","224",224,2.7105,2.6947,4.0439,1.00260,1.53295,0.04664,0.09214,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","256",256,1.6258,1.5768,3.7462,1.03797,2.35198,0.08851,0.08611,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","288",288,2.1308,1.7635,2.8958,1.20538,1.65220,0.08182,0.09766,"C++ wins","we win"
"20260906-123747","P-cores","zeroing, aligned 32","320",320,1.9787,1.9373,3.4069,1.09136,1.75529,0.23805,0.09958,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","384",384,2.5439,2.3296,4.0704,1.22243,1.75393,0.25423,0.23180,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","448",448,2.7175,2.6907,3.8085,1.03162,1.42404,0.15064,0.10667,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","512",512,2.7249,2.7121,4.4777,1.00314,1.66648,0.06047,0.06301,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","576",576,3.0715,3.0683,3.8975,0.99927,1.27971,0.03874,0.09662,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","768",768,2.9081,2.9225,5.2678,1.00018,1.80691,0.01198,0.03706,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","1K",1024,4.3481,4.2462,6.3794,1.01953,1.48484,0.08984,0.17260,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","1536",1536,5.0221,5.0327,9.4384,1.00307,1.87853,0.02250,0.05460,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","2K",2048,6.4759,6.4565,12.3675,1.00174,1.92170,0.04013,0.01595,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","3K",3072,9.6266,9.6613,18.9077,1.00205,1.99064,0.06401,0.05743,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","4K",4096,15.4000,15.3939,26.4555,0.99155,1.76781,0.06667,0.12640,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","8K",8192,101.5658,101.5342,108.1410,0.99522,1.08970,0.05755,0.04473,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","16K",16384,199.6123,200.9638,213.6452,0.99303,1.09022,0.05668,0.04539,"tie","we win"
"20260906-123747","P-cores","zeroing, aligned 32","64K",65536,792.9194,796.9052,846.3969,0.99042,1.07657,0.04043,0.03775,"tie","we win"
"20260906-123747","P-cores","aligned 64","64",64,0.3804,0.3805,3.7964,0.99280,10.07827,0.06042,0.06490,"tie","we win"
"20260906-123747","P-cores","aligned 64","128",128,0.7711,0.7701,3.8183,1.00190,4.99579,0.03340,0.03773,"tie","we win"
"20260906-123747","P-cores","aligned 64","192",192,1.7407,2.3945,2.9857,0.73224,1.71609,0.06161,0.04624,"C++ LOSES","we win"
"20260906-123747","P-cores","aligned 64","256",256,1.5879,1.5430,3.8264,1.03165,2.49996,0.04544,0.06452,"tie","we win"
"20260906-123747","P-cores","aligned 64","384",384,2.5437,2.3245,4.0513,1.24749,1.75992,0.34981,0.28957,"tie","we win"
"20260906-123747","P-cores","aligned 64","512",512,2.6792,2.6980,4.4823,0.96982,1.70273,0.14193,0.06975,"tie","we win"
"20260906-123747","P-cores","aligned 64","1K",1024,4.2249,4.2946,6.3246,0.98464,1.50624,0.16227,0.22774,"tie","we win"
"20260906-123747","P-cores","aligned 64","2K",2048,6.3909,6.4251,12.6155,0.98949,1.98234,0.05037,0.04229,"tie","we win"
"20260906-123747","P-cores","aligned 64","4K",4096,13.4680,13.5035,25.3965,0.99289,1.91639,0.07575,0.06096,"tie","we win"
"20260906-123747","P-cores","aligned 64","16K",16384,197.3540,196.2815,210.4673,0.99958,1.08876,0.03638,0.08510,"tie","we win"
"20260906-123747","P-cores","aligned 64","64K",65536,789.5794,791.5869,860.0681,0.99882,1.10031,0.04647,0.05667,"tie","we win"
"20260906-123747","P-cores","aligned 16","16",16,0.2299,0.2296,2.2982,1.00167,10.10916,0.04310,0.02862,"tie","we win"
"20260906-123747","P-cores","aligned 16","48",48,0.3818,0.3815,3.3278,1.00154,8.84738,0.04191,0.04466,"tie","we win"
"20260906-123747","P-cores","aligned 16","80",80,0.5702,0.5720,3.5136,0.99535,6.21779,0.05621,0.03579,"tie","we win"
"20260906-123747","P-cores","aligned 16","112",112,0.7743,0.7849,3.8953,0.98995,4.96989,0.05901,0.12250,"tie","we win"
"20260906-123747","P-cores","aligned 16","144",144,0.9729,0.9646,2.6512,1.00511,2.76037,0.05386,0.09405,"tie","we win"
"20260906-123747","P-cores","aligned 16","176",176,1.4722,1.1868,2.8527,1.25505,2.41605,0.05229,0.08880,"C++ wins","we win"
"20260906-123747","P-cores","aligned 16","208",208,2.7006,2.6823,3.5347,1.00504,1.33459,0.05170,0.06258,"tie","we win"
"20260906-123747","P-cores","aligned 16","240",240,2.9024,2.9093,3.5920,1.01132,1.24996,0.05747,0.07035,"tie","we win"
"20260906-123747","P-cores","aligned 16","272",272,1.7689,1.7265,2.8301,1.06934,1.65187,0.16887,0.11098,"tie","we win"
"20260906-123747","P-cores","aligned 16","496",496,3.0585,3.0556,4.2449,1.00110,1.39823,0.02529,0.03310,"tie","we win"
"20260906-123747","P-cores","aligned 16","1008",1008,4.9225,4.8476,6.4538,1.03821,1.34847,0.10896,0.05820,"tie","we win"
"20260906-123747","P-cores","aligned 16","2032",2032,6.4210,6.4506,12.5635,0.99339,1.95989,0.02765,0.03682,"tie","we win"
"20260906-123747","P-cores","aligned 16","4080",4080,12.7130,12.6320,24.9078,1.00567,2.02187,0.04550,0.06013,"tie","we win"
"20260906-123747","P-cores","aligned 8","8",8,0.2317,0.2323,2.1282,1.00033,9.19883,0.05362,0.07141,"tie","we win"
"20260906-123747","P-cores","aligned 8","24",24,0.3795,0.3795,2.6730,1.00080,7.08087,0.02399,0.02008,"tie","we win"
"20260906-123747","P-cores","aligned 8","40",40,0.5721,0.5701,3.6582,0.99990,6.43485,0.04704,0.04415,"tie","we win"
"20260906-123747","P-cores","aligned 8","56",56,0.7689,0.7630,3.6228,1.00775,4.81208,0.04900,0.07093,"tie","we win"
"20260906-123747","P-cores","aligned 8","88",88,1.0528,1.0532,2.9932,1.00428,2.86885,0.04094,0.05242,"tie","we win"
"20260906-123747","P-cores","aligned 8","120",120,1.3487,1.3473,3.0844,1.01129,2.30925,0.03749,0.04818,"tie","we win"
"20260906-123747","P-cores","aligned 8","152",152,1.2795,1.2826,2.4090,1.01006,1.96214,0.08482,0.09273,"tie","we win"
"20260906-123747","P-cores","aligned 8","248",248,3.0165,3.0166,3.0436,0.99665,1.01919,0.05963,0.10946,"tie","tie"
"20260906-123747","P-cores","aligned 8","504",504,3.3376,3.2939,4.5924,1.01239,1.39720,0.02987,0.04985,"tie","we win"
"20260906-123747","P-cores","aligned 8","1016",1016,4.9165,4.9160,6.7799,0.99737,1.40585,0.05078,0.05715,"tie","we win"
"20260906-123747","P-cores","aligned 8","4088",4088,12.7588,12.8580,26.4333,0.99472,2.08737,0.05751,0.04713,"tie","we win"
"20260906-123747","P-cores","non-zero byte","32",32,0.2338,0.2369,3.0159,0.99380,12.90834,0.06201,0.05981,"tie","we win"
"20260906-123747","P-cores","non-zero byte","64",64,0.3893,0.3884,4.0328,0.99777,10.48937,0.05008,0.06105,"tie","we win"
"20260906-123747","P-cores","non-zero byte","96",96,0.5686,0.5681,4.0302,1.00178,7.14053,0.02667,0.03412,"tie","we win"
"20260906-123747","P-cores","non-zero byte","128",128,0.7604,0.7648,4.4848,0.99499,5.91865,0.05402,0.06248,"tie","we win"
"20260906-123747","P-cores","non-zero byte","160",160,1.5840,0.9859,2.4450,1.60809,2.50355,0.06777,0.06263,"C++ wins","we win"
"20260906-123747","P-cores","non-zero byte","192",192,2.4593,2.4123,3.2505,1.02583,1.35213,0.02913,0.05150,"tie","we win"
"20260906-123747","P-cores","non-zero byte","224",224,2.6830,2.6950,4.0721,0.99572,1.54555,0.05201,0.08300,"tie","we win"
"20260906-123747","P-cores","non-zero byte","256",256,1.6016,1.5600,3.6587,1.03972,2.38882,0.08663,0.08724,"tie","we win"
"20260906-123747","P-cores","non-zero byte","288",288,2.1694,1.8019,2.9390,1.20650,1.65582,0.06210,0.07695,"C++ wins","we win"
"20260906-123747","P-cores","non-zero byte","320",320,2.3143,1.9492,3.4328,1.38134,1.76511,0.29569,0.38663,"C++ wins","we win"
"20260906-123747","P-cores","non-zero byte","384",384,2.6693,2.3028,3.9823,1.24482,1.73307,0.20956,0.35320,"C++ wins","we win"
"20260906-123747","P-cores","non-zero byte","448",448,2.7741,2.8094,3.9900,1.01792,1.43688,0.09563,0.14362,"tie","we win"
"20260906-123747","P-cores","non-zero byte","512",512,2.7080,2.7014,4.4259,0.99917,1.66198,0.03124,0.07256,"tie","we win"
"20260906-123747","P-cores","non-zero byte","576",576,3.0935,3.0952,3.9224,0.99827,1.28087,0.03529,0.04483,"tie","we win"
"20260906-123747","P-cores","non-zero byte","768",768,2.9151,2.9313,5.2536,0.99609,1.81789,0.03813,0.04511,"tie","we win"
"20260906-123747","P-cores","non-zero byte","1K",1024,4.4638,4.2622,6.4219,1.03411,1.48190,0.09736,0.31343,"tie","we win"
"20260906-123747","P-cores","non-zero byte","1536",1536,5.0397,5.0039,9.4742,1.00302,1.89479,0.03049,0.04607,"tie","we win"
"20260906-123747","P-cores","non-zero byte","2K",2048,6.5128,6.4779,12.5062,1.00284,1.95294,0.04059,0.03491,"tie","we win"
"20260906-123747","P-cores","non-zero byte","3K",3072,9.6990,9.6769,18.9415,0.98732,1.98134,0.08418,0.07260,"tie","we win"
"20260906-123747","P-cores","non-zero byte","4K",4096,14.9787,14.9752,26.0627,1.00114,1.77853,0.04151,0.06131,"tie","we win"
"20260906-123747","P-cores","non-zero byte","8K",8192,103.5058,102.8137,107.4788,0.99852,1.08335,0.09734,0.06602,"tie","tie"
"20260906-123747","P-cores","non-zero byte","16K",16384,199.9406,199.7879,213.2315,1.00460,1.08565,0.04419,0.03100,"tie","we win"
"20260906-123747","P-cores","non-zero byte","64K",65536,796.5944,792.9660,850.7692,1.00805,1.08476,0.05501,0.03479,"tie","we win"
"20260906-123747","P-cores","natural (control)","1",1,0.2375,0.2367,1.9485,1.00033,8.26750,0.02032,0.10961,"tie","we win"
"20260906-123747","P-cores","natural (control)","3",3,0.2323,0.2325,2.3221,1.00071,10.04031,0.03953,0.03993,"tie","we win"
"20260906-123747","P-cores","natural (control)","7",7,0.2327,0.2319,2.9695,1.00264,12.89779,0.06350,0.08399,"tie","we win"
"20260906-123747","P-cores","natural (control)","8",8,0.2289,0.2279,2.1249,1.00257,9.37577,0.07133,0.03546,"tie","we win"
"20260906-123747","P-cores","natural (control)","9",9,0.2403,0.2380,1.9684,1.00343,8.21462,0.05142,0.07096,"tie","we win"
"20260906-123747","P-cores","natural (control)","15",15,0.3916,0.3901,1.9741,1.00746,5.06424,0.03218,0.06285,"tie","we win"
